name	type	units	status	status_description
1	EEG	microV	Good	n/a
2	EEG	microV	Good	n/a
3	EEG	microV	Good	n/a
4	EEG	microV	Good	n/a
5	EEG	microV	Good	n/a
6	EEG	microV	Good	n/a
7	EEG	microV	Good	n/a
8	EEG	microV	Good	n/a
9	EEG	microV	Good	n/a
10	EEG	microV	Good	n/a
11	EEG	microV	Good	n/a
12	EEG	microV	Good	n/a
13	EEG	microV	Good	n/a
14	EEG	microV	Good	n/a
15	EEG	microV	Good	n/a
16	EEG	microV	Good	n/a
17	EEG	microV	Good	n/a
18	EEG	microV	Good	n/a
19	EEG	microV	Good	n/a
20	EEG	microV	Good	n/a
21	EEG	microV	Good	n/a
22	EEG	microV	Good	n/a
23	EEG	microV	Good	n/a
24	EEG	microV	Good	n/a
25	EEG	microV	Good	n/a
26	EEG	microV	Good	n/a
27	EEG	microV	Good	n/a
28	EEG	microV	Good	n/a
29	EEG	microV	Good	n/a
30	EEG	microV	Good	n/a
31	EEG	microV	Good	n/a
32	EEG	microV	Good	n/a
33	EEG	microV	Good	n/a
34	EEG	microV	Good	n/a
35	EEG	microV	Good	n/a
36	EEG	microV	Good	n/a
37	EEG	microV	Good	n/a
38	EEG	microV	Good	n/a
39	EEG	microV	Good	n/a
40	EEG	microV	Good	n/a
41	EEG	microV	Good	n/a
42	EEG	microV	Good	n/a
43	EEG	microV	Good	n/a
44	EEG	microV	Good	n/a
45	EEG	microV	Good	n/a
46	EEG	microV	Good	n/a
47	EEG	microV	Good	n/a
48	EEG	microV	Good	n/a
49	EEG	microV	Good	n/a
50	EEG	microV	Good	n/a
51	EEG	microV	Good	n/a
52	EEG	microV	Good	n/a
53	EEG	microV	Good	n/a
54	EEG	microV	Good	n/a
55	EEG	microV	Good	n/a
56	EEG	microV	Good	n/a
57	EEG	microV	Good	n/a
58	EEG	microV	Good	n/a
59	EEG	microV	Good	n/a
60	EEG	microV	Good	n/a
61	EEG	microV	Good	n/a
62	EEG	microV	Good	n/a
63	EEG	microV	Good	n/a
64	EEG	microV	Good	n/a
65	EEG	microV	Good	n/a
66	EEG	microV	Good	n/a
67	EEG	microV	Good	n/a
68	EEG	microV	Good	n/a
69	EEG	microV	Good	n/a
70	EEG	microV	Good	n/a
71	EEG	microV	Good	n/a
72	EEG	microV	Good	n/a
73	EEG	microV	Good	n/a
74	EEG	microV	Good	n/a
75	EEG	microV	Good	n/a
76	EEG	microV	Good	n/a
77	EEG	microV	Good	n/a
78	EEG	microV	Good	n/a
79	EEG	microV	Good	n/a
80	EEG	microV	Good	n/a
81	EEG	microV	Good	n/a
82	EEG	microV	Good	n/a
83	EEG	microV	Good	n/a
84	EEG	microV	Good	n/a
85	EEG	microV	Good	n/a
86	EEG	microV	Good	n/a
87	EEG	microV	Good	n/a
88	EEG	microV	Good	n/a
89	EEG	microV	Good	n/a
90	EEG	microV	Good	n/a
91	EEG	microV	Good	n/a
92	EEG	microV	Good	n/a
93	EEG	microV	Good	n/a
94	EEG	microV	Good	n/a
95	EEG	microV	Good	n/a
96	EEG	microV	Good	n/a
97	EEG	microV	Good	n/a
98	EEG	microV	Good	n/a
99	EEG	microV	Good	n/a
100	EEG	microV	Good	n/a
101	EEG	microV	Good	n/a
102	EEG	microV	Good	n/a
103	EEG	microV	Good	n/a
104	EEG	microV	Good	n/a
105	EEG	microV	Good	n/a
106	EEG	microV	Good	n/a
107	EEG	microV	Good	n/a
108	EEG	microV	Good	n/a
109	EEG	microV	Good	n/a
110	EEG	microV	Good	n/a
111	EEG	microV	Good	n/a
112	EEG	microV	Good	n/a
113	EEG	microV	Good	n/a
114	EEG	microV	Good	n/a
115	EEG	microV	Good	n/a
116	EEG	microV	Good	n/a
117	EEG	microV	Good	n/a
118	EEG	microV	Good	n/a
119	EEG	microV	Good	n/a
120	EEG	microV	Good	n/a
121	EEG	microV	Good	n/a
122	EEG	microV	Good	n/a
123	EEG	microV	Good	n/a
124	EEG	microV	Good	n/a
125	EEG	microV	Good	n/a
126	EEG	microV	Good	n/a
127	EEG	microV	Good	n/a
128	EEG	microV	Good	n/a
